Date,year,month,day,jday,Cruise,Station,Depth,SiO4,NO3_NO2,PO4,NH4,Chl_Total,CHL_20um,CHL_3um,Flowcam_Biomass
20150915,2015,9,15,258,1,1,2,0.819,0.917,0.469,0.954,7.79,0.936666667,0.15,356644.8958
20150915,2015,9,15,258,1,1,10,0.704,0.615,0.358,1.033,7.133333333,,,
20150915,2015,9,15,258,1,1,20,1.225,0.725,0.483,2.483,4.46,,,
20150915,2015,9,15,258,1,2,2,1.156,2.124,0.454,0.876,6.51,6.51,6.51,221990.9127
20150915,2015,9,15,258,1,2,10,1.109,1.321,0.488,1.155,6.51,,,
20150915,2015,9,15,258,1,2,20,1.553,1.571,0.498,1.171,5.14,,,
20150915,2015,9,15,258,1,3,2,-0.027,0.497,0.212,1.079,3.626666667,1.476666667,0.05,128605.6999
20150915,2015,9,15,258,1,3,10,0.165,0.786,0.283,1.05,6.16,,,
20150915,2015,9,15,258,1,3,40,10.201,8.712,1.051,1.173,0.35,,,
20150915,2015,9,15,258,1,4,2,0.139,1.172,0.179,0.817,3.84,1.51,0.11,140802.5361
20150915,2015,9,15,258,1,4,10,0.15,0.3,0.181,0.596,4.226666667,,,
20150915,2015,9,15,258,1,4,40,3.62,4.714,0.611,1.278,0.27,,,
20150922,2015,9,22,265,2,1,2,0.954,3.65,0.518,4.693,6.130692432,1.104174726,0.173439617,NA
20150922,2015,9,22,265,2,1,10,0.997,3.087,0.537,3.878,42.91304123,,,
20150922,2015,9,22,265,2,1,30,1.352,3.807,0.561,4.895,55.07691287,,,
20150922,2015,9,22,265,2,2,2,1.272,0.718,0.447,1.621,5.43509811,1.159107175,0.127251144,NA
20150922,2015,9,22,265,2,2,10,1.783,5.117,0.552,5.794,5.417401266,,,
20150922,2015,9,22,265,2,2,20,2.097,4.267,0.552,4.453,4.604791076,,,
20150922,2015,9,22,265,2,3,2,0.048,1.162,0.165,2.356,3.133063732,2.058612481,0.21218155,246387.5493
20150922,2015,9,22,265,2,3,10,0.202,3.732,0.303,4.865,0.21218155,,,
20150922,2015,9,22,265,2,3,40,9.399,9.658,0.899,3.742,4.044992945,,,
20150922,2015,9,22,265,2,4,2,0.148,3.564,0.217,4.597,4.424211034,1.32672157,0.143799499,NA
20150922,2015,9,22,265,2,4,10,0.511,3.345,0.35,4.332,6.708548568,,,
20150922,2015,9,22,265,2,4,40,7.896,11.862,0.948,4.589,0.533541793,,,
20151013,2015,10,13,286,3,1,2,8.856,7.046,0.815,5.666,4.735711607,0.220212609,2.049583479,NA
20151013,2015,10,13,286,3,1,10,8.9,6.345,0.833,4.801,8.722016038,,,
20151013,2015,10,13,286,3,1,35,9.051,6.442,0.879,2.906,8.722016038,,,
20151013,2015,10,13,286,3,2,2,8.62,8.59,0.815,7.462,2.175989508,1.713740716,0.169744099,NA
20151013,2015,10,13,286,3,2,10,10.096,9.844,0.963,20.268,1.346693723,,,
20151013,2015,10,13,286,3,2,20,10.563,10.845,0.996,5.143,1.081349409,,,
20151013,2015,10,13,286,3,3,2,5.836,6.473,0.642,4.198,4.956922158,3.060831715,0.25822946,55253.51534
20151013,2015,10,13,286,3,3,10,7.492,8.526,0.798,6.365,2.789961652,,,
20151013,2015,10,13,286,3,3,40,11.538,12.777,1.021,4.345,0.369286186,,,
20151013,2015,10,13,286,3,4,2,3.628,4.728,0.504,3.94,5.895938378,3.178208743,0.251909159,NA
20151013,2015,10,13,286,3,4,10,3.33,8.009,0.641,8.22,3.006657703,,,
20151013,2015,10,13,286,3,4,40,8.618,11.994,0.91,4.509,0.25552076,,,
20151020,2015,10,20,293,4,1,2,9.748,7.064,0.89,1.352,3.340730781,1.238273465,0.190511945,NA
20151020,2015,10,20,293,4,1,10,9.853,8.016,0.882,1.921,2.60938161,,,
20151020,2015,10,20,293,4,1,30,9.985,7.074,0.901,1.069,2.428801568,,,
20151020,2015,10,20,293,4,2,2,10.204,7.312,0.924,1,2.455888574,1.141265867,0.166624817,NA
20151020,2015,10,20,293,4,2,10,10.186,7.464,0.937,1.261,2.401714561,,,
20151020,2015,10,20,293,4,2,20,10.964,8.994,0.989,1.269,2.284337534,,,
20151020,2015,10,20,293,4,3,2,8.824,8.074,0.862,0.574,3.629658848,0.950103834,0.12354203,69463.15152
20151020,2015,10,20,293,4,3,10,9.273,8.628,0.907,0.787,3.367817787,,,
20151020,2015,10,20,293,4,3,40,13.749,11.471,1.26,0.88,0.807445601,,,
20151020,2015,10,20,293,4,4,2,8.824,8.074,0.862,0.574,4.947969189,2.589104371,2.914454579,NA
20151020,2015,10,20,293,4,4,10,9.273,8.628,0.907,0.787,NA,,,
20151020,2015,10,20,293,4,4,40,13.749,11.471,1.26,0.88,NA,,,
20151103,2015,11,3,307,5,2,2,6.389,5.76,0.768,1.316,5.1356964,0.679053191,0.147508613,67620.04627
20151103,2015,11,3,307,5,2,10,6.705,5.761,0.791,1.271,3.268498764,,,
20151103,2015,11,3,307,5,2,20,7.43,6.982,0.832,1.824,2.60938161,,,
20151103,2015,11,3,307,5,3,2,6.261,5.432,0.787,1.221,1.395197522,0.773207625,0.144940765,64276.80188
20151103,2015,11,3,307,5,3,10,6.662,7.097,0.83,1.175,2.889280675,,,
20151103,2015,11,3,307,5,3,40,11.158,10.673,1.049,1.236,0.94154434,,,
20151103,2015,11,3,307,5,4,2,5.577,5.479,0.628,1.173,2.546178595,1.224007642,0.279899065,32995.77667
20151103,2015,11,3,307,5,4,10,4.091,4.783,0.64,0.842,1.803200069,,,
20151103,2015,11,3,307,5,4,40,9.91,10.933,0.985,0.799,0.853096235,,,
20151117,2015,11,17,321,6,1,2,8.181,6.396,0.909,1.481,1.149825361,0.773207625,0.21398735,16665.67972
20151117,2015,11,17,321,6,1,10,8.299,6.811,0.923,1.389,1.089908903,,,
20151117,2015,11,17,321,6,1,30,8.45,6.911,0.89,1.468,1.049964597,,,
20151117,2015,11,17,321,6,2,2,8.754,7.959,0.904,1.642,0.765839959,0.435197902,0.133279213,14825.94427
20151117,2015,11,17,321,6,2,10,8.777,7.819,0.915,5.835,1.010020292,,,
20151117,2015,11,17,321,6,2,20,8.884,7.685,0.883,1.311,0.747529143,,,
20151117,2015,11,17,321,6,3,2,8.821,8.407,0.992,0.683,1.571046367,0.466113205,0.151503044,35832.77216
20151117,2015,11,17,321,6,3,10,8.173,8.306,0.96,0.629,2.31142454,,,
20151117,2015,11,17,321,6,3,40,12.666,11.395,1.153,0.552,0.314209273,,,
20151117,2015,11,17,321,6,4,2,4.473,8.495,0.807,3.246,0.887334211,0.647668379,3.250440759,10023.90375
20151117,2015,11,17,321,6,4,10,4.373,6.645,0.736,1.294,0.884481047,,,
20151117,2015,11,17,321,6,4,40,10.722,10.696,0.988,0.654,0.17245394,,,
20160920,2016,9,20,264,2,1,2,6.79,4.35,0.86,2.53,2.5193,2.4,0.18,3.60E+04
20160920,2016,9,20,264,2,1,10,6.74,4.66,0.89,2.58,2.4937,,,
20160920,2016,9,20,264,2,1,35,6.93,4.68,0.86,2.56,2.4851,,,
20160920,2016,9,20,264,2,2,2,6.78,7.42,0.88,6.09,2.2997,1.76,0.38,4.35E+04
20160920,2016,9,20,264,2,2,10,6.73,7.3,0.88,5.87,2.4109,,,
20160920,2016,9,20,264,2,2,20,6.67,4.89,0.94,2.39,2.1998,,,
20160920,2016,9,20,264,2,3,2,0.18,0.26,0.09,0.28,0.8845,4.68,1.66,3.02E+05
20160920,2016,9,20,264,2,3,10,1.39,0.45,0.22,0.32,9.0445,,,
20160920,2016,9,20,264,2,3,40,9.09,8.17,0.93,0.46,10.8706,8.52,0.39,
20160920,2016,9,20,264,2,4,2,0.07,0.72,0.08,0.32,0.4803,,,3.93E+05
20160920,2016,9,20,264,2,4,10,0.49,1.61,0.3,1.69,9.0832,,,
20160920,2016,9,20,264,2,4,40,7.27,9.54,0.86,0.87,0.2154,,,
20161004,2016,10,4,278,3,1,2,3.49,3.72,0.66,4.28,1.9683,1.018579905,0.230239581,7.32E+04
20161004,2016,10,4,278,3,1,10,3.04,1.69,0.59,1.7,2.4107,,,
20161004,2016,10,4,278,3,1,35,5.07,2.87,0.77,2.28,2.4198,,,
20161004,2016,10,4,278,3,2,2,5.01,5.02,0.81,5.09,1.9232,1.007167245,0.727557075,6.56E+04
20161004,2016,10,4,278,3,2,10,3.84,4.59,0.65,5.25,2.0044,,,
20161004,2016,10,4,278,3,2,20,5.21,6.59,0.83,6.91,2.0857,,,
20161004,2016,10,4,278,3,3,2,1.36,1.43,0.41,1.58,0.9672,1.41516984,0.332267316,1.16E+05
20161004,2016,10,4,278,3,3,10,1.4,1.43,0.47,0.93,2.8983,,,
20161004,2016,10,4,278,3,3,40,4.24,3.88,0.69,2.37,2.8622,,,
20161004,2016,10,4,278,3,4,2,1.15,1.69,0.49,0.7,2.483,1.18121031,0.268161394,1.53E+05
20161004,2016,10,4,278,3,4,10,2.48,4.13,0.63,3.02,2.7448,,,
20161004,2016,10,4,278,3,4,40,0.92,4.37,0.55,5.24,1.8239,,,
20161019,2016,10,19,293,4,1,2,4.72,3.14,0.78,5.75,1.0606,1.006963358,3.236449152,1.23E+04
20161019,2016,10,19,293,4,1,10,3.42,2.57,0.64,1.89,1.3551,,,
20161019,2016,10,19,293,4,1,35,4.77,7.31,0.87,6.61,1.349,,,
20161019,2016,10,19,293,4,2,2,4.43,3.28,0.84,2.19,1.3551,0.918901924,0.231693463,1.74E+04
20161019,2016,10,19,293,4,2,10,3.07,2.35,0.63,1.79,1.4156,,,
20161019,2016,10,19,293,4,2,20,4.41,3.59,0.82,2.31,1.3127,,,
20161019,2016,10,19,293,4,3,2,1.99,2.13,0.61,0.51,1.1524,3.272745778,0.712148991,2.89E+04
20161019,2016,10,19,293,4,3,10,1.97,2.33,0.53,0.94,3.545,,,
20161019,2016,10,19,293,4,3,40,5.28,5.38,0.76,0.91,4.6328,,,
20161019,2016,10,19,293,4,4,2,1.15,1.69,0.49,0.7,0.7658,3.042867146,0.951446367,5.47E+04
20161019,2016,10,19,293,4,4,10,0.9,1.62,0.4,1.01,3.5018,,,
20161019,2016,10,19,293,4,4,40,1.48,3.21,0.47,1.61,4.1733,,,
20161101,2016,11,1,306,5,1,2,7.4,6.44,0.87,1.91,1.228,0.83084049,0.270409864,1.19E+04
20161101,2016,11,1,306,5,1,10,6.9,6.53,0.85,2.24,1.3067,,,
20161101,2016,11,1,306,5,1,35,6.66,5.81,0.8,1.55,1.3006,,,
20161101,2016,11,1,306,5,2,2,7.9,7.9,0.94,1.44,1.1131,0.930388198,0.278879076,1.12E+04
20161101,2016,11,1,306,5,2,10,7.97,7.97,0.99,3.26,1.228,,,
20161101,2016,11,1,306,5,2,20,7.84,7.84,0.95,2.06,1.3127,,,
20161101,2016,11,1,306,5,3,2,4.25,5.99,0.73,0.76,1.1946,1.180214659,0.350262441,2.60E+04
20161101,2016,11,1,306,5,3,10,4.79,7.79,0.8,1.94,1.5184,,,
20161101,2016,11,1,306,5,3,40,6.52,7.89,0.85,1.49,1.5366,,,
20161101,2016,11,1,306,5,4,2,4.42,7.31,0.76,1.45,9.7442,0.838498006,0.292792783,2.60E+04
20161101,2016,11,1,306,5,4,10,3.89,5.79,0.65,0.75,1.2825,,,
20161101,2016,11,1,306,5,4,40,4.16,5.51,0.59,0.8,1.3672,,,
